atm_id,latitude,longitude,h3_index,is_synthetic
ATM-0168,19.17084,72.851761,mock_h3_167,True
ATM-0169,19.063731,72.919031,mock_h3_168,True
ATM-0170,19.038313,72.904337,mock_h3_169,True
ATM-0171,19.031524,72.865053,mock_h3_170,True
ATM-0172,19.035209,72.858659,mock_h3_171,True
ATM-0173,19.072145,72.857412,mock_h3_172,True
ATM-0174,19.093058,72.830879,mock_h3_173,True
ATM-0175,19.089835,72.957769,mock_h3_174,True
ATM-0176,19.117359,72.860884,mock_h3_175,True
ATM-0177,19.07665,72.937858,mock_h3_176,True
ATM-0178,19.148677,72.953066,mock_h3_177,True
ATM-0179,19.062767,72.926916,mock_h3_178,True
ATM-0180,19.212008,72.855419,mock_h3_179,True
ATM-0181,19.107283,72.897187,mock_h3_180,True
ATM-0182,19.033142,72.87579,mock_h3_181,True
ATM-0183,19.022455,72.831815,mock_h3_182,True
ATM-0184,19.076,72.877,mock_h3_183,True
ATM-0185,19.064827,72.818048,mock_h3_184,True
ATM-0186,19.1117,72.936384,mock_h3_185,True
ATM-0187,19.099662,72.853769,mock_h3_186,True
ATM-0188,19.072359,72.887058,mock_h3_187,True
ATM-0189,19.03366,72.891164,mock_h3_188,True
ATM-0190,19.000258,72.864055,mock_h3_189,True
ATM-0191,19.053674,72.906335,mock_h3_190,True
ATM-0192,19.11882,72.853255,mock_h3_191,True
ATM-0193,19.086705,72.920565,mock_h3_192,True
ATM-0194,19.013713,72.809701,mock_h3_193,True
ATM-0195,19.084659,72.883319,mock_h3_194,True
ATM-0196,19.095266,72.973946,mock_h3_195,True
ATM-0197,19.031807,72.826983,mock_h3_196,True
ATM-0198,19.083686,72.843113,mock_h3_197,True
ATM-0199,19.07891,72.902695,mock_h3_198,True
ATM-0200,19.018851,72.885979,mock_h3_199,True
ATM-0201,19.093889,72.894532,mock_h3_200,True
ATM-0202,19.104039,72.901459,mock_h3_201,True
ATM-0203,19.130153,72.908736,mock_h3_202,True
ATM-0204,19.12869,72.932485,mock_h3_203,True
ATM-0205,19.007117,72.897491,mock_h3_204,True
ATM-0206,19.029109,72.864937,mock_h3_205,True
ATM-0207,19.101752,72.910629,mock_h3_206,True
ATM-0208,19.101689,72.971994,mock_h3_207,True
ATM-0209,19.101752,72.870368,mock_h3_208,True
ATM-0210,19.268637,72.828274,mock_h3_209,True
ATM-0211,19.104545,72.932354,mock_h3_210,True
ATM-0212,19.132778,72.870981,mock_h3_211,True
ATM-0213,19.1237,72.768367,mock_h3_212,True
ATM-0214,19.10857,72.919371,mock_h3_213,True
ATM-0215,19.060237,72.850234,mock_h3_214,True
ATM-0216,19.113948,72.872473,mock_h3_215,True
ATM-0217,19.037359,72.893599,mock_h3_216,True
ATM-0218,19.064159,72.886525,mock_h3_217,True
ATM-0219,19.051732,72.912473,mock_h3_218,True
ATM-0220,19.080094,72.855226,mock_h3_219,True
ATM-0221,19.191733,72.902655,mock_h3_220,True
ATM-0222,18.982637,72.864023,mock_h3_221,True
ATM-0223,19.110313,72.913941,mock_h3_222,True
ATM-0224,18.995364,72.907768,mock_h3_223,True
ATM-0225,19.052403,72.830228,mock_h3_224,True
ATM-0226,19.130448,72.931299,mock_h3_225,True
ATM-0227,19.079214,72.850202,mock_h3_226,True
ATM-0228,19.022113,72.917403,mock_h3_227,True
ATM-0229,19.040235,72.895364,mock_h3_228,True
ATM-0230,19.10998,72.968909,mock_h3_229,True
ATM-0231,19.039482,72.865827,mock_h3_230,True
ATM-0232,19.086823,72.859534,mock_h3_231,True
ATM-0233,19.078279,72.876029,mock_h3_232,True
ATM-0234,19.04342,72.861841,mock_h3_233,True
ATM-0235,19.183197,72.916997,mock_h3_234,True
ATM-0236,19.107696,72.796184,mock_h3_235,True
ATM-0237,18.974743,72.824316,mock_h3_236,True
ATM-0238,19.085323,72.82361,mock_h3_237,True
ATM-0239,19.042911,72.924515,mock_h3_238,True
ATM-0240,19.118622,72.962531,mock_h3_239,True
ATM-0241,19.036374,72.871778,mock_h3_240,True
ATM-0242,19.070263,72.868559,mock_h3_241,True
ATM-0243,19.101249,72.880503,mock_h3_242,True
ATM-0244,19.119288,72.935094,mock_h3_243,True
ATM-0245,19.015985,72.830632,mock_h3_244,True
ATM-0246,19.059275,72.888918,mock_h3_245,True
ATM-0247,19.052253,72.92576,mock_h3_246,True
ATM-0248,19.043334,72.902055,mock_h3_247,True
ATM-0249,19.164273,72.886479,mock_h3_248,True
ATM-0250,19.096249,72.927052,mock_h3_249,True
ATM-0251,19.012956,72.741838,mock_h3_250,True
ATM-0252,19.121893,72.910894,mock_h3_251,True
ATM-0253,19.182108,72.844296,mock_h3_252,True
ATM-0254,19.127623,72.785468,mock_h3_253,True
ATM-0255,19.000032,72.90256,mock_h3_254,True
ATM-0256,19.051788,72.945683,mock_h3_255,True
ATM-0257,19.139346,72.870128,mock_h3_256,True
ATM-0258,19.040617,72.924644,mock_h3_257,True
ATM-0259,19.098191,72.957614,mock_h3_258,True
ATM-0260,19.114732,72.942746,mock_h3_259,True
ATM-0261,19.029653,72.958998,mock_h3_260,True
ATM-0262,19.073024,72.914106,mock_h3_261,True
ATM-0263,18.913937,72.880772,mock_h3_262,True
ATM-0264,19.024781,72.796902,mock_h3_263,True
ATM-0265,19.063372,72.864697,mock_h3_264,True
ATM-0266,19.013611,72.834838,mock_h3_265,True
ATM-0267,19.157621,72.985547,mock_h3_266,True
ATM-0268,19.004493,72.868206,mock_h3_267,True
ATM-0269,19.053998,72.88316,mock_h3_268,True
ATM-0270,19.082537,72.904574,mock_h3_269,True
ATM-0271,19.148064,72.87918,mock_h3_270,True
ATM-0272,19.004207,72.961753,mock_h3_271,True
ATM-0273,19.134158,72.845868,mock_h3_272,True
ATM-0274,19.076512,72.88673,mock_h3_273,True
ATM-0275,19.026925,72.839876,mock_h3_274,True
ATM-0276,19.099105,72.810999,mock_h3_275,True
ATM-0277,19.085953,72.846412,mock_h3_276,True
ATM-0278,19.045989,72.875148,mock_h3_277,True
ATM-0279,19.07949,72.855535,mock_h3_278,True
ATM-0280,19.056734,72.842379,mock_h3_279,True
ATM-0281,19.081676,72.806684,mock_h3_280,True
ATM-0282,19.109107,72.872845,mock_h3_281,True
ATM-0283,19.155301,72.801764,mock_h3_282,True
ATM-0284,19.014109,72.915003,mock_h3_283,True
ATM-0285,19.182652,72.881122,mock_h3_284,True
ATM-0286,18.978396,72.804122,mock_h3_285,True
ATM-0287,19.068411,72.86154,mock_h3_286,True
ATM-0288,19.105416,72.839392,mock_h3_287,True
ATM-0289,19.09005,72.892959,mock_h3_288,True
ATM-0290,19.044865,72.944023,mock_h3_289,True
ATM-0291,19.065594,72.783241,mock_h3_290,True
ATM-0292,19.05135,72.882751,mock_h3_291,True
ATM-0293,19.046532,72.868993,mock_h3_292,True
ATM-0294,19.11848,72.910567,mock_h3_293,True
ATM-0295,19.093851,72.88766,mock_h3_294,True
ATM-0296,19.041355,72.839402,mock_h3_295,True
ATM-0297,19.12098,72.861047,mock_h3_296,True
ATM-0298,19.091365,72.837199,mock_h3_297,True
ATM-0299,19.116643,72.9308,mock_h3_298,True
ATM-0300,19.107481,72.878066,mock_h3_299,True
ATM-0301,19.03455,72.97206,mock_h3_300,True
ATM-0302,19.047991,72.873967,mock_h3_301,True
ATM-0303,19.113365,72.84158,mock_h3_302,True
ATM-0304,19.106519,72.801314,mock_h3_303,True
ATM-0305,19.074955,72.786843,mock_h3_304,True
ATM-0306,19.081866,72.797793,mock_h3_305,True
ATM-0307,19.139883,72.890356,mock_h3_306,True
ATM-0308,19.046421,72.902436,mock_h3_307,True
ATM-0309,19.103355,72.79794,mock_h3_308,True
ATM-0310,19.06589,72.921752,mock_h3_309,True
ATM-0311,19.065116,72.852847,mock_h3_310,True
ATM-0312,19.130939,72.88434,mock_h3_311,True
ATM-0313,19.117271,72.957611,mock_h3_312,True
ATM-0314,19.116675,72.921842,mock_h3_313,True
ATM-0315,19.141274,72.863573,mock_h3_314,True
ATM-0316,19.07705,72.83244,mock_h3_315,True
ATM-0317,19.110098,72.769409,mock_h3_316,True
ATM-0318,19.060487,72.841042,mock_h3_317,True
ATM-0319,19.092208,72.866443,mock_h3_318,True
ATM-0320,19.069493,72.827641,mock_h3_319,True
ATM-0321,19.08085,72.870437,mock_h3_320,True
ATM-0322,19.105758,72.880843,mock_h3_321,True
ATM-0323,19.035089,72.865757,mock_h3_322,True
ATM-0324,19.180619,72.8445,mock_h3_323,True
ATM-0325,19.025699,72.885433,mock_h3_324,True
ATM-0326,19.015291,72.899097,mock_h3_325,True
ATM-0327,19.133906,72.82248,mock_h3_326,True
ATM-0328,19.115583,72.947547,mock_h3_327,True
ATM-0329,19.107206,72.872071,mock_h3_328,True
ATM-0330,19.107417,72.877942,mock_h3_329,True
ATM-0331,19.075388,72.912411,mock_h3_330,True
ATM-0332,19.031137,72.888661,mock_h3_331,True
ATM-0333,19.07979,72.924657,mock_h3_332,True
ATM-0334,19.042142,72.891356,mock_h3_333,True
ATM-0335,19.124756,72.846378,mock_h3_334,True
ATM-0336,19.068647,72.895075,mock_h3_335,True
ATM-0337,19.034725,72.819814,mock_h3_336,True
ATM-0338,19.059931,72.882428,mock_h3_337,True
ATM-0339,19.096647,72.875339,mock_h3_338,True
ATM-0340,19.047814,72.866594,mock_h3_339,True
ATM-0341,19.034889,72.870573,mock_h3_340,True
ATM-0342,19.088184,72.782908,mock_h3_341,True
ATM-0343,19.088248,72.849564,mock_h3_342,True
ATM-0344,19.050653,72.881642,mock_h3_343,True
ATM-0345,19.052448,72.884993,mock_h3_344,True
ATM-0346,19.087602,72.825616,mock_h3_345,True
ATM-0347,19.003596,72.940285,mock_h3_346,True
ATM-0348,19.005627,72.833691,mock_h3_347,True
ATM-0349,19.040078,72.925473,mock_h3_348,True
ATM-0350,19.065328,72.89836,mock_h3_349,True
ATM-0351,19.091545,72.844689,mock_h3_350,True
ATM-0352,19.149768,72.965766,mock_h3_351,True
ATM-0353,19.118883,72.817318,mock_h3_352,True
ATM-0354,19.068003,72.922958,mock_h3_353,True
ATM-0355,19.075049,72.927029,mock_h3_354,True
ATM-0356,19.025874,72.843469,mock_h3_355,True
ATM-0357,19.075074,72.946623,mock_h3_356,True
ATM-0358,19.061567,72.864498,mock_h3_357,True
ATM-0359,19.092136,72.891435,mock_h3_358,True
ATM-0360,19.034638,72.890016,mock_h3_359,True
ATM-0361,19.101967,72.870285,mock_h3_360,True
ATM-0362,19.152637,72.91754,mock_h3_361,True
ATM-0363,19.070562,72.916674,mock_h3_362,True
ATM-0364,19.096086,72.789573,mock_h3_363,True
ATM-0365,19.110507,72.942217,mock_h3_364,True
ATM-0366,19.055939,72.793875,mock_h3_365,True
ATM-0367,19.087205,72.928627,mock_h3_366,True
ATM-0368,19.07663,72.933335,mock_h3_367,True
ATM-0369,19.080884,72.822452,mock_h3_368,True
ATM-0370,19.03735,72.856459,mock_h3_369,True
ATM-0371,19.077226,72.821715,mock_h3_370,True
ATM-0372,19.1009,72.866254,mock_h3_371,True
ATM-0373,19.148557,72.861598,mock_h3_372,True
ATM-0374,19.123964,72.915983,mock_h3_373,True
ATM-0375,19.183659,72.942515,mock_h3_374,True
ATM-0376,19.037633,72.946784,mock_h3_375,True
ATM-0377,19.119616,72.848892,mock_h3_376,True
ATM-0378,19.085167,72.866539,mock_h3_377,True
ATM-0379,19.18549,72.792828,mock_h3_378,True
ATM-0380,19.035585,72.836706,mock_h3_379,True
ATM-0381,19.034014,72.925243,mock_h3_380,True
ATM-0382,19.04603,72.957779,mock_h3_381,True
ATM-0383,18.969805,72.815283,mock_h3_382,True
ATM-0384,19.049712,72.847377,mock_h3_383,True
ATM-0385,19.038043,72.87568,mock_h3_384,True
ATM-0386,19.08352,72.891008,mock_h3_385,True
ATM-0387,19.093088,72.83652,mock_h3_386,True
ATM-0388,19.169809,72.898203,mock_h3_387,True
ATM-0389,19.123521,72.853308,mock_h3_388,True
ATM-0390,19.047155,72.876277,mock_h3_389,True
ATM-0391,19.031079,72.904314,mock_h3_390,True
ATM-0392,19.100596,72.877321,mock_h3_391,True
ATM-0393,19.009988,72.855181,mock_h3_392,True
ATM-0394,19.167573,72.87152,mock_h3_393,True
ATM-0395,19.134972,72.872582,mock_h3_394,True
ATM-0396,19.052541,72.858499,mock_h3_395,True
ATM-0397,18.990343,72.86406,mock_h3_396,True
ATM-0398,19.143694,72.956932,mock_h3_397,True
ATM-0399,19.070273,72.905046,mock_h3_398,True
ATM-0400,19.137891,72.862226,mock_h3_399,True
ATM-0401,18.996279,72.911848,mock_h3_400,True
ATM-0402,19.046031,72.860309,mock_h3_401,True
ATM-0403,19.076262,72.935656,mock_h3_402,True
ATM-0404,19.078349,72.895482,mock_h3_403,True
ATM-0405,19.053497,72.871635,mock_h3_404,True
ATM-0406,19.107142,72.899386,mock_h3_405,True
ATM-0407,19.022619,72.798456,mock_h3_406,True
ATM-0408,19.068881,72.820662,mock_h3_407,True
ATM-0409,19.082015,72.817304,mock_h3_408,True
ATM-0410,19.101722,72.884147,mock_h3_409,True
ATM-0411,19.111581,72.963626,mock_h3_410,True
ATM-0412,19.019768,72.988565,mock_h3_411,True
ATM-0413,18.999294,72.908903,mock_h3_412,True
ATM-0414,19.139884,72.902042,mock_h3_413,True
ATM-0415,19.092616,72.786947,mock_h3_414,True
ATM-0416,19.038576,72.849866,mock_h3_415,True
ATM-0417,19.153558,72.837611,mock_h3_416,True
ATM-0418,19.081784,72.845958,mock_h3_417,True
ATM-0419,19.134965,72.868593,mock_h3_418,True
ATM-0420,19.079376,72.853395,mock_h3_419,True
ATM-0421,19.179037,72.778035,mock_h3_420,True
ATM-0422,19.163767,72.914396,mock_h3_421,True
ATM-0423,19.063552,72.823363,mock_h3_422,True
ATM-0424,19.124579,72.888962,mock_h3_423,True
ATM-0425,19.108269,72.980704,mock_h3_424,True
ATM-0426,19.144432,72.831031,mock_h3_425,True
ATM-0427,19.027754,72.750486,mock_h3_426,True
ATM-0428,19.110303,72.8627,mock_h3_427,True
ATM-0429,19.128921,72.932048,mock_h3_428,True
ATM-0430,18.988063,72.974917,mock_h3_429,True
ATM-0431,19.016837,72.815523,mock_h3_430,True
ATM-0432,18.974038,72.901835,mock_h3_431,True
ATM-0433,19.06253,72.853734,mock_h3_432,True
ATM-0434,19.111877,72.871703,mock_h3_433,True
ATM-0435,19.151118,73.009217,mock_h3_434,True
ATM-0436,19.079705,72.801851,mock_h3_435,True
ATM-0437,19.157431,72.889687,mock_h3_436,True
ATM-0438,19.006995,72.900385,mock_h3_437,True
ATM-0439,18.990831,72.931289,mock_h3_438,True
ATM-0440,19.073223,72.881899,mock_h3_439,True
ATM-0441,19.095203,72.892403,mock_h3_440,True
ATM-0442,19.074365,72.857418,mock_h3_441,True
ATM-0443,18.972628,72.890456,mock_h3_442,True
ATM-0444,19.071544,72.85984,mock_h3_443,True
ATM-0445,19.010777,72.908079,mock_h3_444,True
ATM-0446,19.109484,72.858519,mock_h3_445,True
ATM-0447,19.09433,72.895855,mock_h3_446,True
ATM-0448,19.029006,72.875537,mock_h3_447,True
ATM-0449,19.050307,72.933303,mock_h3_448,True
ATM-0450,19.023039,72.87443,mock_h3_449,True
ATM-0451,19.072866,72.788348,mock_h3_450,True
ATM-0452,19.123757,72.940096,mock_h3_451,True
ATM-0453,19.026714,72.831713,mock_h3_452,True
ATM-0454,19.101202,72.844312,mock_h3_453,True
ATM-0455,19.049487,72.847217,mock_h3_454,True
ATM-0456,19.036356,72.945722,mock_h3_455,True
ATM-0457,19.070648,72.770216,mock_h3_456,True
ATM-0458,19.024238,73.033887,mock_h3_457,True
ATM-0459,19.048318,72.929803,mock_h3_458,True
ATM-0460,19.016106,72.888162,mock_h3_459,True
ATM-0461,19.174236,72.874255,mock_h3_460,True
ATM-0462,19.077763,72.891278,mock_h3_461,True
ATM-0463,19.041014,72.903056,mock_h3_462,True
ATM-0464,19.086699,72.909261,mock_h3_463,True
ATM-0465,19.070384,72.90478,mock_h3_464,True
ATM-0466,19.064952,72.881479,mock_h3_465,True
ATM-0467,19.106708,72.867133,mock_h3_466,True
ATM-0468,19.113875,72.869436,mock_h3_467,True
ATM-0469,19.049475,72.867255,mock_h3_468,True
ATM-0470,19.047209,72.933689,mock_h3_469,True
ATM-0471,19.062247,72.906678,mock_h3_470,True
ATM-0472,18.960904,72.729981,mock_h3_471,True
ATM-0473,19.00024,72.909795,mock_h3_472,True
ATM-0474,19.144344,72.886737,mock_h3_473,True
ATM-0475,19.158248,72.876065,mock_h3_474,True
ATM-0476,19.063548,72.857574,mock_h3_475,True
ATM-0477,19.104828,72.933206,mock_h3_476,True
ATM-0478,19.091563,72.924376,mock_h3_477,True
ATM-0479,19.229944,72.838356,mock_h3_478,True
ATM-0480,19.131979,72.897353,mock_h3_479,True
ATM-0481,19.069604,72.828417,mock_h3_480,True
ATM-0482,19.028223,72.808019,mock_h3_481,True
ATM-0483,18.995678,72.845664,mock_h3_482,True
ATM-0484,19.086173,72.92012,mock_h3_483,True
ATM-0485,19.038182,72.924656,mock_h3_484,True
ATM-0486,19.004887,72.902654,mock_h3_485,True
ATM-0487,19.043671,72.913255,mock_h3_486,True
ATM-0488,19.021923,72.902809,mock_h3_487,True
ATM-0489,19.160357,72.844926,mock_h3_488,True
ATM-0490,19.120082,72.898596,mock_h3_489,True
ATM-0491,19.075601,72.91702,mock_h3_490,True
ATM-0492,19.149997,72.914715,mock_h3_491,True
ATM-0493,19.079868,72.936446,mock_h3_492,True
ATM-0494,19.032936,72.912415,mock_h3_493,True
ATM-0495,19.152156,72.894572,mock_h3_494,True
ATM-0496,19.102946,72.930508,mock_h3_495,True
ATM-0497,19.024138,72.875674,mock_h3_496,True
ATM-0498,19.066483,72.832906,mock_h3_497,True
ATM-0499,19.032219,72.868847,mock_h3_498,True
ATM-0500,19.00686,72.839755,mock_h3_499,True
ATM-0501,19.122309,72.843241,mock_h3_500,True
ATM-0502,19.171471,72.869774,mock_h3_501,True
ATM-0503,19.006072,72.837379,mock_h3_502,True
ATM-0504,19.104148,72.861602,mock_h3_503,True
ATM-0505,19.043468,72.782319,mock_h3_504,True
ATM-0506,19.051644,72.887665,mock_h3_505,True
ATM-0507,19.04638,72.87706,mock_h3_506,True
ATM-0508,19.0328,72.836146,mock_h3_507,True
ATM-0509,19.078426,72.909962,mock_h3_508,True
ATM-0510,19.034452,72.923879,mock_h3_509,True
ATM-0511,19.089523,72.796622,mock_h3_510,True
ATM-0512,19.073488,72.838864,mock_h3_511,True
ATM-0513,19.064053,72.838543,mock_h3_512,True
ATM-0514,19.030622,72.830005,mock_h3_513,True
ATM-0515,19.047161,72.918474,mock_h3_514,True
ATM-0516,19.11377,72.867309,mock_h3_515,True
ATM-0517,19.101046,72.863774,mock_h3_516,True
